comment,labels
this place is a gem .,1
it was a great view and a comfortable room .,1
"delicious food and reasonably priced , especially if you go during there happy hours !",1
not really a `` farm '' person .,0
it was really good tonight .,1
waitress never checked to see if i wanted another drink .,0
my first & second experience here were both the same -- horrible .,0
the food is always amazing !,1
i love this place .,1
"ok , i get it , your busy .",0
had a great experience here .,1
i will go back !,1
best place to eat .,1
"overall , haircut & style = _num_ stars .",0
"potato and cheddar are great , too , of course !",1
"there are many dining and drinking options , and cool rocking chairs .",0
"fantastic location , everyone is super nice and the equipment is pretty new .",1
"unfortunately , we discovered the tortillas had expired in the middle of dinner .",0
explained history of the team and facility .,1
he tour guided us through the local favorites .,1
overall the rent keeps going up every year and their service just getting worse .,0
ca n't recall a better meal ever .,1
the people who work here are also super friendly !,1
great service and delicious menu .,1
this place is gross .,0
loved all of the shops and eateries .,1
ca n't believe that they serve us that .,0
i loved his response .,1
but this is n't what i ordered .,0
"the diner was n't particularly busy , but it was n't empty either .",0
i recommend the garlic parm wings .,1
"anyways , the service was quick and friendly .",1
it was not cheap and the room was gross .,0
i am not sure how someone thinks this food is great .,0
everything i 've ever had is delicious .,1
grab any car in the lane and drive away .,0
"low-key , affordable , relaxing place with delicious food !",1
"at the moment i 'm especially pissed , because they killed my car .",0
"i was tired , packed bags , and waiting to get to the airport .",0
mitchell 's was surprisingly good .,1
best italian in the city !,1
we will be calling again today to get our money back .,0
so we got what we wanted .,1
"oh , and as for that `` cheap '' bit .",0
the food was greatly improved and the decor was as fascinating as ever .,1
it 's always good .,1
"sorry allison b , ai n't no butter here .",0
i 'll take it .,1
this place is soon so gross .,0
the only way to describe the food is disgusting .,0
one year after they cut that route after being there over _num_ years .,0
the pork chop was so bitter and dry .,0
we also tried the soul rolls which were also good .,1
"thanks to sergio 's , it was a good start to a flawless day .",1
i 'm weird like that .,0
i enjoyed my visit to the museum .,1
the food is very good and consistent .,1
i have never been treated so badly as a consumer .,0
"my entree , the scallops served with risotto , was fine but overpriced .",0
will check back regularly .,1
salmon salad was not good at all .,0
affordable and very friendly staff .,1
the gyro sandwich for $ _num_ was ok at best .,0
everyone loved the german cuisine .,1
the decor is incredibly sexy and the food is delicious .,1
it was clear servicing customers was an inconvenience to him .,0
i was there for three days and enjoyed my stay very much .,1
i was rushed out and my polish was n't even hard yet .,0
"if you live anywhere in south charlotte , its worth trying .",1
received bad service today .,0
wan 's parking lot was jam packed and he ate with _num_ other friends .,0
the location is n't ideal ; on the side of a busy highway .,0
highly recommend their delivery !,1
the addition of byob was a hidden gem as well .,1
actually there was nothing basement like about it .,0
the only option for brunch is to get the buffet .,0
wonderful location in an up and coming neighborhood in pittsburgh .,1
i was disappointed when my next piece was also quite fatty .,0
i ordered the spiced pear drink and it was terrible .,0
on the visit i got the west side burger and onion rings .,1
we ordered deliver which came super fast .,1
great and fast service .,1
we were ignored until i grabbed a table in the back .,0
great views of the river and a sunday brunch big and beautiful .,1
really loved the music !,1
i am not a fan of false advertisement !,0
the taco stand 's lengua ( tongue ) tacos are freaking amazing .,1
tables are often dirty .,0
service was ok but occasionally inattentive .,0
"i usually get a cheese pizza , but it 's so good .",1
it 's is a great place to go with a large crowd .,1
"they are dog friendly , very dog friendly .",1
she offered no apology or solution .,0
my coke was empty .,0
please check it out some time .,1
will not return ever .,0
i had a pizza and it was quite bland .,0
this place is horrible and has crappy service .,0
i have n't and will not go back .,0
lots of people running around like crazy and if your understaffed hire more people !,0
the daily rotation of focaccia is something worth checking out .,1
had a wonderful dinner here with my german in-laws !,1
does n't seem like they keep up with it .,0
"overall , great subs , inexpensive and friendly service .",1
"rocking chairs and free wifi , both good qualities .",1
i definately will be back and the quality of the work done is great .,1
i have experienced poor customer service and shady salespeople .,0
their bread is amazing !,1
i thought it was odd how many empty tables were in the bar area .,0
"the owners , steve and wendy are friendly and knowledgeable .",1
the food was very meh ... _num_ people dined .,0
the food ai n't bad .,0
"sadly , i walked away from my meal with a `` meh '' feeling .",0
"i found these guys on yelp , and the reviews were not wrong .",1
the experience and service is excellent !,1
what horrible service this place gives !,0
i 'm a fan of the bakery and have ordered a few cakes here .,1
i think lidia & grandma would be appalled !,0
what i got was a very dry and tasteless sandwich .,0
that there are attendants in the restrooms is memorable .,1
"if cleanliness is important to you , this is the restaurant you want .",1
the waitress even apologized for her lack of attention .,0
i went back today and was still awesome .,1
it was seasoned perfectly .,1
make sure they put you in their system .,1
my server was fantastic !,1
the crust is always cooked perfectly and there is tons of cheese .,1
it sounded like she described a bad breakfast joint ... '' oh that place ?,0
that was really nice .,1
a great place for a cheap good dinner .,1
not that the food was bad it just was n't good !,0
i highly recommend either dining upstairs or taking out .,1
so disappointing that 's how people think a business should be run .,0
"the beds at the westin are very comfy , as are the pillows .",1
the collards were authentic and would get them again .,0
worst pizza hut experience ever .,0
they did a great job with my pedicure and gel manicure .,1
i am extremely disappointed and will never order or recommend them for anything !,0
first of all the sandwich was on sliced bread ( lame ) !,0
"the service , on the other hand , was terrible .",0
the burger was just eh .,0
it was a blast .,1
it was a crowded mess .,0
they stand behind what they create and their level of customer service was superb .,1
i love the convenient online ordering system and their costs are totally reasonable .,1
he cried constantly when i left his sight .,0
we all enjoyed our lunches .,1
miguel 's is a nice local spot right by the airport .,1
a great menu and very friendly staff .,1
drinks are always high quality & well-made .,1
i was not impressed once .,0
which the bench under the tv is an absolutely terrible idea !,0
menus for drinks and food have no prices .,0
the dishes are fresh and cooked with an obvious love for food .,1
pizza was fine but nothing special .,0
"parking is super easy , too .",1
a very good value for your money .,1
i bought homemade flour tortillas and made fajitas with which to enjoy them .,1
"great food , good service & friendly atmosphere .",1
excellent food quality and service .,1
not too crowded ... nice and clean .,1
extremely friendly and courteous manager .,1
she offered no further help and i offered no further business .,0
small restaurant so definitely make reservations and try the omakase .,1
"what great wall of china south serves is cheap , frozen egg rolls .",0
it 's sad to experience systems that work so obviously against the customer .,0
great food and prices !,1
"i do n't know whats worse , terrible service or this filthy venue .",0
love this coffee shop .,1
the boxed lunch was amazing !,1
"the first time i went it was okay , but was very forgettable .",0
i had one of there salads and was very happy with what i received .,1
very fresh sushi and great atmosphere .,1
"they have a great selection of restaurants there , and that movie theater .",1
it just adds to the authenticity of the place !,1
the last time i was here i was rushing between flights .,0
weekend : dont bother .,0
"while it was ok , it was n't great .",0
"the chicken was bad quality , i 've had much better .",0
"i did n't get sick from eating it , so that 's a plus .",0
he did n't deserve more than _num_ % .,0
i ordered the fried catfish plate with macaroni & cheese and collard greens .,0
i have been going here for a few months now and i love it .,1
a friendly place with great seafood .,1
this place is over rated .,0
this is on a weekend ( saturday night - sunday morning ) .,0
do n't waste your time .,0
i 'd suggest finding bbq elsewhere .,0
the service is always prompt and excellent .,1
the worst experience on my first outing in my city .,0
to make matters worse the food was barely lukewarm .,0
"mistakes happen , i get it , but three strikes and your out .",0
first surprise : decent beer .,1
theyre always on groupon too !,1
it was very reasonable .,1
the calamari was worthy of five stars .,1
found food and trash in the refrigerator .,0
"looks shady , tastes great .",1
if it was n't for that i would give another star .,0
we will definitely be going back .,1
it 's been a tremendous ordeal to get it fixed .,0
one of the worst restaurant experiences .,0
i had it a few weeks ago while taking care of some business .,1
i always have a good time when i go here .,1
definitely a great `` special occasion '' or romantic restaurant .,1
i had a pretty negative experience for my first trip to sushi kim .,0
until then she was just missing .,0
definitely a fan of brixx .,1
great casual fast food type place .,1
it 's definitely worth the trip .,1
the best mexican i have ever had !,1
the sat hours is a real plus as well .,1
the nutella peanut butter pie is amazing .,1
this place is terrible !,0
not a lot of nail salons open on sunday here .,0
overall a great place to drink .,1
paul g. is the best bartender !,1
when i walked in it was not a welcoming atmosphere .,0
their house salad dressing is the best i 've ever had .,1
i really have no desire to return ever again .,0
the food was fresh and delicious & the service was awesome .,1
"( and me , and everyone alike . )",1
we ordered _num_ family portions of _num_ different dishes .,0
it turned out mostly mediocre .,0
"but i ended up with the chicken broccoli alfredo , nothing to rave about .",0
very attentive service i would definitely recommend !,1
the salad bar also came with fresh pizza .,1
the soup and roll were really good .,1
"i 'm never going back , and you should n't either .",0
they also pack in the flavor in the birthday cake soft serve .,1
this is a cool place !,1
not a bad place but there are many others in charlotte that are better .,0
the last time was my last time ever walking into either safeway store .,0
"lunch special , delish !",1
food as usual is very good .,1
it was scary pink and super soft -- like raw hamburger generally is .,0
"however , i never ever will let a social event get out of control .",0
i love this place .,1
he did n't bother to ask me if i was done with it .,0
what can i say -- the cheese plate is great .,1
"they are actually very tasty , and the beef is fresh and tender .",1
i was impressed by the quality and low price of the bulk spices .,1
"good quick service , great food and a superb beer selection .",1
food was very bland and watery .,0
i got a to go order .,1
"overall , not a great choice .",0
i have loved this place since i was a kid .,1
"it 's yet another michael 's , and it 's a very good one .",1
fun flavors and just not corporate chain coffee !,1
i love this place .,1
"i had the eggs benedict , which were absolutely delicious .",1
"it has a friendly , family style atmosphere .",1
val is the best at the downtown location .,1
", but gave us back a dog that was covered in blood .",0
one did n't even look up from the computer .,0
this is a 5-star neighborhood pizza delivery joint .,1
this location has a lot of good deals throughout the week .,1
"the wait staff is so friendly , attentive and makes the experience even better .",1
awesome food and good waiters .,1
their chicken sandwich was ordinary and the fries came out a little cold .,0
was driving by madison and thought we 'd get some bbq .,0
well worth the wait if you come in on the weekend .,1
such a great surprise !,1
it 's damn delicious and cheap to boot !,1
just do n't expect to get anything else out of it .,0
this place is great !,1
they kept the beverage stations open and well stocked .,1
waitress was not the best .,0
"good diner food and a great friendly , welcoming atmosphere .",1
my family and i enjoyed a wonderful dinner .,1
i was lucky my computer was not fried .,0
no one was there .,0
i love how friendly all of the staff is .,1
the tuna melt hoagie was really good also .,1
if i could rate it zero stars i would .,0
i got precious few hours sleep that night !,0
so many good things about rock bottom .,1
i love their bagels here as well as there coffee in the mornings .,1
would recommend any location .,1
next course was a very fresh and impeccably spice cup of gumbo .,1
the waiter comp my meal out .,0
she is like you said no meat .,0
service was fast and pleasant .,1
i highly recommend the gelato .,1
"needless to say , i will not be going back to this place .",0
no accommodations were offered .,0
the only thing i liked from the box was the french fries .,0
"the food , service , and prices were great .",1
only thing open is starbucks .,0
beautiful custom work of anything you can dream of .,1
there 's nothing about this specific location that is bad .,0
the sangria in the summer on the patio is tops .,1
i find it always to be easy to fly out of charlotte .,1
it has a pretty cool design and good lighting .,1
this place is one of the best sub spots in charlotte !,1
it is unfortunate that they have such a rude office manager .,0
"always pleasant , i usually just walk right in .",1
i would absolutely recommend this place .,1
there should be a negative rating on here .,0
this place just needs to make sure the food is warm !,1
the seating is horrible .,0
fast and way friendly service from terri .,1
"i order an ice tea , it was horrible !",0
"you get _num_ crispy , meaty wings for _num_ bucks and they are delicious .",1
i would definitely recommend them to any professional .,1
the icing is delicious .,1
staff welcomed me and made small talk while we waited .,1
the dj ( todd ) is great .,1
i 'm a foodie and disappointed .,0
lamb chops and shrimp pasta were just ok.,0
next time your country ass needs to stay home from work .,0
walked in and no one never said hello .,0
what a great find .,1
the staff was friendly and attentive .,1
i love this place !,1
service was great as well .,1
the food is made with love and it shows .,1
there are the best looking guys in there .,1
great place and great atmosphere !,1
workers were really nice and the pizza was great !,1
i do n't know maybe it was a bad night i went on .,0
food was overpriced and less than average .,0
the range itself had terrible ventilation .,0
i was rather disappointed in most aspects .,0
"a native all my life and never been , finally went last summer .",0
been here before and it has definitely improved .,1
and it gets buys here because it 's good and everybody wants it !,1
"plus they 're a local charlotte family chain , which i absolutely adore .",1
i thought it was a bit too much .,0
after standing there for a couple minutes we were then given our check .,0
excellent food and excellent service .,1
the food has been absolutely tremendous at this place every time !,1
"the food , service and staff were excellent .",1
they need to get out of the _num_ 's with the decor .,0
but it just fails to deliver too often .,0
i 'd love to go again !,1
"my first time to visit , and i hit a great sale .",1
i really liked the event space layout and the staff was phenomenal .,1
the person we talked to was very friendly .,1
prices very good ... .,1
the east end co-op is a great location for healthy foods .,1
some of these were new & never before worn .,0
great food and service !,1
because i 'm not prepared to pay $ _num_ for a single visit ?,0
this place was old and i will definitely not be going back .,0
i loved it here back when i was in high school though .,1
i would definitely recommend coming here for a great meal !,1
"huge portions , quick service , fresh and delicious food !",1
the service is very slow .,0
this place is great .,1
this place has some excellent pizza .,1
_num_ ) the food was lackluster .,0
it was probably the best burrito i 've ever had at a mad mex .,1
"on weekends , they sell fresh tofu which they make in house .",1
this is also a very clean and safe shop .,1
all of it was really good .,1
and the service is always just about enough .,1
"amazing , the food and service were great .",1
they next wanted to try my hands and i refused .,0
that is my whole experience trying to find a magazine .,0
"the servers are rude and slow , and the food is awful .",0
"with chicken , it cost $ _num_ .",0
"if this is personalized service , i 'd rather stay at a motel .",0
"it was also fairly small , but that was almost to be expected .",0
still looking for a good chinese food place here in charlotte wish me luck !,0
i 'm very happy with my experience here and will definitely continue shopping here !,1
my simple question was : do you price match to you own website ?,0
"lived in _num_ e white st , champaign for half a year .",0
"very tasty , local , and affordable .",1
why were n't their any ice in the glass ?,0
amazingly fast and reliable service .,1
"the atmosphere , the sandwich , very enjoyable .",1
i will not be working with carolina appliance service again .,0
"great service , friendly people .",1
it was a beautiful restaurant and very romantic !,1
he thanked me for my patience and went along .,0
"staff is very friendly , and food quick to arrive .",1
the food tastes good here .,1
oh and there sweet tea is heavenly !,1
great dogs for under $ _num_ .,1
this place is amazing !,1
it was fried tofu in soy sauce with red pickled chinese chilli .,0
i 'm only writing this to save someone else from wasting money .,0
"um , this airport sucks , okay ?",0
"the hotel itself is beautiful , especially in the lobby .",1
the original root beer barrel is still in the window !,1
masters hardware is a classic old fashioned hardware store in the very best way .,1
the bar food is quality -- i highly recommend the fried zucchini .,1
i was n't too impressed with my visit here .,0
i absolutely can not recommend strongly enough against this hotel .,0
i crave this stuff .,1
i would highly recommend v cleaners !,1
"very friendly service , interesting coffee mugs .",1
we also got a chicken ranch flat bread and this left us disappointed .,0
seriously the best ups store in town .,1
i will never order pizza from this store nor any people i know !,0
the bakery is delish !,1
"great arena , great team , great time !",1
the service is consistently good and their bbq pork is excellent .,1
i 'm not a fan really .,0
i booked this hotel stay for a business ( military ) event .,0
i love this library .,1
"so , i ca n't study or do research while in there .",0
"anyway , appointment starts and we go into separate room .",0
absolutely horrible customer service !,0
so its like great america .,1
my favorite place in pittsburgh !,1
i also had it with their mozzarella appetizer .,1
the vomit smell is even there at like 8am on tuesday mornings !,0
felt rushed even though other tables were available .,0
for starters we were served ice cold meatballs and limp soggy salads .,0
"huge menu , both in food and ale .",1
good bagels and great variety !,1
the bartender never came back to me to take my drink order .,0
"the visit i made on my birthday jan _num_ , was the absolute worst .",0
"yet , he comes back with extra texas pete drenched on my wings .",0
dinner here made me happy !,1
the girls are great and they make sure you are comfortable .,1
- they want $ _num_ for cheese on their eggs .,0
"i had a special , he had ravioli 's and we split a desert .",1
corporate has n't even tried to make things right .,0
"but , i 'll never be eating here again .",0
uninspired and bland food choices .,0
best bakery in town !,1
the home fries and banana oatmeal pancakes were sooo delicious !,1
the chocolate flavor was so deep and intense !,1
the lady working this place is very ignorant and rude !,0
"very smoky and small , but definitely worth coming to .",1
"it 's nicer , bigger and has a better selection of ready made foods .",1
the spicy tuna was fabulous !,1
they do n't rush you and let you savor a great meal .,1
husband ordered penne chicken vodka sauce .,0
kids loved it and it is very reasonably priced .,1
"the prime rib , ordered rare , was medium , dry and extremely salty .",0
very clean & bright .,1
a very good meal .,1
it is not near the top of my favorites .,0
great location and a good price !,1
unless she is really trying to take over the olive garden market .,0
but the pizza is much too small for the price .,0
i do n't know why i continue to come here .,0
_num_ couples ahead of me and my wife ... wait time is 10-15 minutes .,0
the cajun queen is probably one of my favorite restaurants in charlotte .,1
amazing service & attention .,1
i love the permanent exhibit that details charlotte 's history .,1
the only good thing about the experience was the beer selection .,0
the facility is really nice .,1
"easy access , plenty of parking , friendly staff , clean .",1
not personal at all strictly business .,0
the burger was cooked perfectly and fresh !,1
i highly recommend trying it out !,1
the music is fantastic and there is so much room to dance .,1
nice friendly service and my car looks great !,1
"every time we have eaten here , we were hungry shortly after .",0
took nearly two hours for everyone in our party to get our food .,0
"and , crab soup so salty , was not edible .",0
throw in some live music and it makes a fun summer night dinner !,1
this was such a pleasant surprise .,1
"meat was too salty and the hush puppies were just ok , nothing good .",0
i am very very very unhappy .,0
the food is very good .,1
he is very patient and thorough and just a really nice guy .,1
bad service average chinese food .,0
would recommend going here .,1
the food is terrible .,0
waitress was friendly and efficient .,1
- the fees are unreasonable for the customer experience we get here .,0
"i then ordered the fried chicken , collard greens and mac & cheese .",0
sad to see it go .,0
the food is amazing and does n't take too long to be served .,1
i recommend the tofu in lemon grass or green onion sauces for an appetizer .,1
the eggs were under done but the toast was fine .,0
the ambience is fun .,1
"long story short , we passed on dessert .",0
i was seated and served a complimentary salad .,0
our food was cold .,0
seat yourself in the back ... .,1
the staff is really efficient and move quickly .,1
the deep fried house potatoes were delish .,0
then they offered me the sale at _num_ which they claimed was their cost .,0
the best sandwiches at amazingly great prices !,1
so much to do and see .,1
u could tell the guy who answered the phone was pissed off .,0
not worth the price .,0
he was n't satisfied at all .,0
our first mistake was that we came too close to closing time .,0
we had a horrible experience here last summer .,0
the service here is phenomenal .,1
the restaurant was completely empty .,0
throughly enjoyed my first experience .,1
"if you 're a nachos fan , this is the place !",1
"had a beer and an appetizer , so-so .",0
we 're done with this poor excuse for a mexican restaurant .,0
sounds like poor kitchen line management that should be corrected .,0
"it was the same bagel , they just stuck it in the microwave .",0
"out of a can , bag , box , or freezer .",0
the food itself was eh .,0
btw : in the autumn and winter they do the best bread pudding .,1
tasted like sauce and cheese on toast .,0
at that time my husband said he chicken was really good .,0
the atmosphere was nice .,1
the best i 've ever had ?,1
this is not a really cool hang out .,0
and my meal was delicious .,1
adam took care of it .,1
i like this place it provides a great atmosphere and can handle big groups .,1
ordering the tires was ok .,0
i will definitely be back !,1
"of course the hostess acted like an office temp , with a bad attitude .",0
the service was super friendly and they genuinely seem to enjoy themselves .,1
i love the atmosphere in there and the staff is super friendly .,1
"okay thai food , nothing special , and overpriced .",0
"goat cheese potato pancakes were crisp , but lacked seasoning .",0
i will not go back !,0
it 's worth the wait .,1
i freaking love this place .,1
do n't walk away .,0
"ok , you people need to get out of central illinois more ... .",0
"it was very bland , and did n't taste like anything .",0
my favorite spot is the outdoor bar mainly because the inside is very crowded .,1
the atmosphere is cozy and unpretentious .,1
i ordered glasses and they had a nice selection .,1
my biggest issue was the attitude i received when i called .,0
_num_ minutes later we 're still waiting .,0
the service was great !,1
i got exactly _num_ tiny chunks of avocado and zero cilantro .,0
half way through there was a hair in my sub .,0
prices are very reasonable and clearly listed for absolutely everything .,1
we even got a picture to take home .,1
why could n't they take a couple minutes and wrap our gift for us ?,0
"now on to the hotel itself , it is gorgeous !",1
"regardless the price , everything is great !",1
"did i mention that they are all pretty hilarious , too .",1
"good , t great .",1
"parking was easy , but the lot was not well lit .",0
the egg rolls taste like they came out of a box in the freezer .,0
looked online and saw it opens at _num_ am on weekdays .,0
i wish i 'd found it sooner !,1
they were all delicious !,1
"biscuit , gravy and hash browns ?",0
had a great experience !,1
the size that i ordered required zero alterations .,0
"this place is dead , but they just do n't know it yet .",0
"another _num_ minutes later still no food , not even apps .",0
overall a good experience .,1
it was very informative and by far the best exhibit we saw that day .,1
the basil chicken is the best i 've ever had in pittsburgh !,1
the flounder was spot on !,1
"there were only two orders ahead of me , utterly ridiculous .",0
the servers are very hard working as well !,1
i love all of the employees .,1
"stuffed mushrooms , but my seafood pasta just came up bland and too oily .",0
they have interesting taste combinations .,1
"i had dessert , which was _num_ flavors of gelato .",0
hands down one of the best sicilian pizzas around !,1
this is a great co-op .,1
this place offers the best pepperoni roll around .,1
unfortunately it was n't .,0
they are always fresh and in interesting combinations .,1
they do a great job of pricing so it is a fair purchase !,1
food and service were excellent .,1
my reuben sandwich was just okay .,0
good food but this is ridiculous .,0
best place i 've been to get my nails and pedicures .,1
- $ _num_ for chicken tenders and fries ?,0
the back room is amazing ... .,1
"my desert was creme brulee , which was very good .",1
"it varies bus by bus , time of day , and more .",0
no call to update me or explain the delay .,0
the meals are pricey but very good .,1
it looked so good i even took a pic of it all .,1
there seems to be no consideration for customers at all .,0
"but she said no , we absolutely could not order ice cream separately .",0
i ordered the seabass and it really was n't anything spectacular .,0
we ate breakfast food at 2:30 am after the bars closed .,0
check the expiration dates on all purchase from here !,0
this is the real deal ... in pittsburgh .,1
we 've always been happy with their work .,1
"if you are craving a margarita , go elsewhere .",0
it was all very dated .,0
_num_ orders of this .,0
"coming up on an hour wait , ugh !",0
"very good customer service , hot fresh pizza slices , and extremely good prices .",1
and both times i have been very impressed .,1
there is no valet .,0
all of the cooked foods are delicious too .,1
often answers the orders totally lacks something .,0
they were pretty terrible .,0
but not a good group night .,0
this is my first time for lunch - breakfast is always outstanding .,1
shadyside inn was an amazing stay .,1
"i prefer the thin-crust , but the sicilian is also excellent .",1
i should have known better given that it only had one positive review .,0
they are fast and give you a good portion of food .,1
she explained the menu throughly and made our time there worth the while .,1
no repeat visit for me .,0
save yourself the worry and avoid like the plague .,0
actually all of the staff i encountered in my _num_ days here were great .,0
the service is always good and friendly !,1
it is full service and i 've never had any issues here .,1
"our server screwed up both our orders , would n't recommend to anyone .",0
this place is a waste of time .,0
she did n't come to our table and apologize for the ribs or chicken .,0
so i was appalled by a lousy not fresh dirty salad !,0
some of the bathrooms were really old and disgusting .,0
do n't get excited like i did .,0
there is a good selection of cigars and the service was great !,1
the food was really good and our waiter was nice and friendly .,1
